,user_id,subscription_start_date,subscription_plan,country_code
31,user_ee4bcb0e-3727-4fd1-8a26-bff591ea18df,1067-08-28 18:40:38+00:00,Higgsfield Pro,PT
60,user_bcd566b2-d944-4478-9617-6a839bf6d0b1,1067-09-03 08:21:32+00:00,Higgsfield Pro,RU
61,user_747acce4-cf7f-4837-b0ed-369467660495,1067-09-10 12:57:09+00:00,Higgsfield Pro,FI
124,user_ff32d05a-b1cc-4fc3-9967-61ec57d5b9fc,1067-09-15 14:39:19+00:00,Higgsfield Creator,PT
181,user_5b666871-79a3-4304-b794-197a04c51227,1067-09-08 19:14:52+00:00,Higgsfield Creator,WS
186,user_f8db12b4-2e0d-40bc-b132-f66792e558ba,1067-09-09 22:34:06+00:00,Higgsfield Creator,FI
239,user_ef4cef06-faa2-4c54-961f-82ed668c6b2a,1067-09-05 08:20:10+00:00,Higgsfield Creator,PK
304,user_cea40354-7717-48ee-acbf-b76f524172f6,1067-11-04 12:58:50+00:00,Higgsfield Creator,CY
473,user_ae2aa85d-5da5-43f1-824e-aa08cb033cd3,1067-11-04 16:49:44+00:00,Higgsfield Creator,QA
576,user_495934fb-a851-4ff9-8f82-ae504e2c210c,1067-09-24 07:27:35+00:00,Higgsfield Basic,MY
578,user_f96c7dc6-b1d0-446e-b21d-460ad050a90e,1067-09-10 01:10:51+00:00,Higgsfield Basic,EC
799,user_3861323f-9895-4109-b4f1-942fa2f7c5ee,1067-09-16 13:32:25+00:00,Higgsfield Basic,PR
854,user_a5d19c9a-da03-4b37-9ff1-c66cbbd9b2e9,1067-09-14 01:20:40+00:00,Higgsfield Basic,NZ
869,user_e6818613-e08e-451e-abe5-65efc4a16aae,1067-09-19 12:36:37+00:00,Higgsfield Basic,PR
1013,user_162988f6-d44b-4b6a-ac38-928b995a5726,1067-09-06 14:08:23+00:00,Higgsfield Basic,PK
1037,user_a80e9d87-331b-4503-a667-a4a627d955a4,1067-09-05 17:31:04+00:00,Higgsfield Basic,CL
1045,user_2fabd7fb-a4ae-405f-8aec-013b29abd680,1067-09-07 02:04:29+00:00,Higgsfield Basic,AM
