,user_id,transaction_id,purchase_time,purchase_type,purchase_amount_dollars
65,user_772a624d-077f-4559-b4cd-ff52368bde9c,ch_ecd27eb8-b750-4ca4-935b-82a5411ccf36,1067-09-05 05:44:55+00:00,Subscription Update,20.0
77,user_0a459501-3d8b-4a55-bd50-26c37feb7fac,ch_0869b3b7-8594-4bbf-b676-f97d85568ca2,1067-09-23 16:14:31+00:00,Subscription Create,29.0
97,user_a2f32aea-0762-4cfa-a7d4-34a62ddf1566,ch_7a71b85f-0657-436f-92f0-47b0670b4b8c,1067-10-11 15:04:09+00:00,Subscription Create,29.0
123,user_0c067cd0-125b-4fbc-8c33-75fbed041bc8,ch_f621605a-79e6-4c7c-af19-ca982289296d,1067-09-04 15:14:26+00:00,Subscription Create,35.0
167,user_f6316a34-94dd-4994-933e-b9d3363fc6e0,ch_f99dee0c-b8b8-4b66-9aba-98c81f606968,1067-10-08 19:39:37+00:00,Subscription Create,35.0
220,user_eaaeabb9-7eba-4700-a521-c20ca66487ec,ch_0ce27852-6219-4148-9eb2-54dd741b1859,1067-11-01 13:43:54+00:00,Subscription Create,9.0
292,user_239adb4a-b683-47a2-b47c-d3aa56050273,ch_afba7bf2-99b1-47bb-be33-3125b53ef134,1067-10-27 00:48:32+00:00,Subscription Create,39.0
299,user_dbfee6a6-60c5-46fa-8b36-66a0d999cf39,ch_251d4082-9efc-4a5d-8b6e-2325280d94d1,1067-11-13 01:14:38+00:00,Credits package,68.0
364,user_49267d30-b970-41e1-b6b5-cd7aee682dbe,ch_592a3c38-4689-40af-b339-bc6007a562e2,1067-11-07 14:27:05+00:00,Upsell,39.0
469,user_f38bda2c-8dde-4f11-973c-4a008c739aa3,ch_04dff2d1-1ca0-4a18-9521-d0b714ff441e,1067-11-14 15:41:16+00:00,Credits package,10.0
516,user_9d448c08-2f2a-4f49-a861-d015878a98a0,ch_48e63367-6ed9-4235-8da2-56c43b5bf589,1067-08-31 09:54:34+00:00,Subscription Create,35.0
547,user_61d66f4d-5351-42af-8196-df4791114466,ch_a54bb41a-fceb-4006-a33f-6b97bb21291a,1067-10-24 16:22:37+00:00,Subscription Create,35.0
570,user_41f64a9b-9a62-4b23-aa3d-a269d542904e,ch_89d72bc6-3493-4874-9f63-b69f2f1d756d,1067-11-03 23:21:36+00:00,Subscription Create,35.0
597,user_7b900b1e-903c-4c6b-a6bf-380a1632625d,ch_8a04a6f9-b59a-47c6-9b59-18a603b665c1,1067-10-04 06:15:17+00:00,Subscription Create,39.0
636,user_8e7362e9-a43b-424b-bfc6-b5a4e5fe63f4,ch_5abfc5ef-08ea-459b-b63d-40ede4c0c721,1067-10-29 03:08:07+00:00,Subscription Create,89.0
710,user_b44f88b9-0be8-4801-a4ef-ed4325e834ea,ch_92cf0fe8-6e1f-4d19-84e2-cfd9043b630b,1067-11-03 22:23:01+00:00,Subscription Create,35.0
766,user_b0ead1a9-dad7-498c-b784-cb6fc1c32baf,ch_dbce3f3c-8cfa-4134-9f2a-2e4eb0dcde6d,1067-09-03 07:11:04+00:00,Subscription Create,9.0
823,user_d960ce2c-e0e4-420c-bd76-00799589a3ca,ch_568d6ed8-dea1-46b7-8968-c2c0f8603cd1,1067-11-06 21:56:38+00:00,Subscription Create,9.0
907,user_8c9b5b43-9d78-423e-8bdc-454808715f4c,ch_f584c50f-872c-4e2f-bd4f-ac0a28ae26cc,1067-10-12 15:42:59+00:00,Subscription Create,35.0
947,user_db7d805a-8b56-4d0b-85b5-4501cc3b77da,ch_5bdb60ca-3396-4c3f-9783-2619b020030a,1067-10-29 09:50:44+00:00,Subscription Create,35.0
1012,user_bc4771b8-74f1-4b2c-a035-0e4bcb270688,ch_5d81dbdc-a670-4946-a531-a82a9df00dc6,1067-09-02 02:03:23+00:00,Subscription Create,89.0
1088,user_11ef313d-718d-4561-888a-4a7767c36b79,ch_749d59f9-f544-4e92-8ab9-cc03f9ee5615,1067-09-12 21:46:57+00:00,Subscription Create,35.0
1118,user_1d4ac831-8e49-46b4-b804-818ae7d52962,ch_14c467dd-9673-4adb-aa97-5875c67f3e0a,1067-10-12 17:44:16+00:00,Upsell,39.0
1182,user_7ed1630e-fb06-48e2-ba63-df8707f37aeb,ch_ba6b22fe-c711-4420-b48f-8aed5c99f4c5,1067-09-02 22:20:04+00:00,Subscription Update,26.0
1195,user_9222ed4d-654a-4298-94b6-e078c271015a,ch_9409d096-ad1b-4977-a00b-d96c6422a452,1067-09-23 13:27:09+00:00,Subscription Create,9.0
1234,user_e3ad81dc-71c3-44aa-a2cc-746743d97b4d,ch_db8bae47-645f-44a6-b23e-00bc663908d9,1067-10-10 06:06:58+00:00,Subscription Create,9.0
1250,user_1c1ed4ca-bebb-4493-adb8-57939888e581,ch_6c157a2a-a5cd-4c34-9b3b-c921b0ae952f,1067-10-18 09:23:40+00:00,Upsell,29.0
1320,user_b4e9339d-a63e-4951-81e7-0b1b6b4c2d51,ch_be01d094-263e-4ced-b84f-b1cc20b0182f,1067-10-11 18:56:29+00:00,Subscription Create,35.0
1338,user_0ac3cf32-a04f-4966-a0b0-5a281ec674a1,ch_36175a12-e779-45b1-ab9f-4769a12b782a,1067-10-15 17:32:20+00:00,Subscription Create,39.0
1339,user_ae118031-b50b-455b-a117-2d04601824a2,ch_16579629-1a4b-4781-81b4-bb5e9d82f77e,1067-09-28 11:01:12+00:00,Credits package,40.0
1426,user_893158b6-41fd-4b8e-b054-eec2eb26495f,ch_93da8e9f-8bb4-4c16-9656-4b5e6d3d6242,1067-10-21 10:03:25+00:00,Subscription Create,35.0
1457,user_f64bb994-9c24-4c21-9fe1-019e7864e5b0,ch_11afd7b1-9180-4327-b95f-d1c3b3b32b5f,1067-10-31 19:54:20+00:00,Subscription Create,35.0
1476,user_aaf0d533-b7fc-4e10-93ac-de704aa8ded6,ch_44414f24-c2da-4abb-930a-ab5375ac724e,1067-11-06 11:22:53+00:00,Subscription Create,35.0
1556,user_9f0d0097-d389-4767-986f-5247bbc56e7c,ch_18ce0d88-2fb0-4812-a8b0-1cd16c74f97e,1067-11-04 00:13:52+00:00,Upsell,39.0
1578,user_39959736-fb4b-4560-9959-c758ca2d12b8,ch_23337d9f-333e-46c5-aa32-46690209366a,1067-10-31 08:09:03+00:00,Subscription Create,35.0
1596,user_55f2bd99-76ab-4500-91f2-8ec521665ac2,ch_49fb91ed-0b55-4771-94df-d016550e0966,1067-09-24 16:58:17+00:00,Subscription Create,9.0
1656,user_bfab0eb5-e75f-436e-a176-19a37e5f27cf,ch_e97d2806-bb88-47cf-9c09-7b379ed714d1,1067-09-17 01:49:18+00:00,Subscription Create,35.0
1675,user_79d64f15-51c6-4c57-92da-f3edf751300d,ch_2704f078-6052-4323-b3b7-3288e633dee6,1067-09-03 12:59:06+00:00,Subscription Create,35.0
1678,user_857f8f05-c259-4e7b-baa8-b18f577e30d7,ch_c464a648-adc6-410b-8e70-123c8ab32f9d,1067-09-06 01:15:27+00:00,Subscription Create,35.0
1755,user_4e4b879b-5785-4008-837a-ee7779c7cf10,ch_a0891955-ef25-465d-bc13-795d4cf88b1e,1067-09-23 17:48:50+00:00,Subscription Create,89.0
1798,user_993a720a-335f-4384-87dd-6648cd26e675,ch_f1d08fa8-173d-4953-a5c4-0dc2cef59d81,1067-11-06 01:20:38+00:00,Subscription Create,9.0
1827,user_a87030e6-ec67-45da-9585-4154c22f7a48,ch_19d854dd-8621-47c9-83bf-23453d9c22bd,1067-10-29 03:54:59+00:00,Subscription Create,35.0
2005,user_3924f698-83d4-48a3-89d8-0ae9fecf3059,ch_aa26da9c-06d1-4fee-a600-c2a797038b36,1067-09-03 13:11:33+00:00,Subscription Create,9.0
2091,user_a9531eba-4363-4f3f-bca6-d6d6dd107764,ch_bf0e5850-af7e-4a16-bfd0-0b8866b38cd8,1067-09-13 07:27:36+00:00,Subscription Create,35.0
2230,user_d66e9872-15ad-429c-9776-33c3ceb2e9bc,ch_f0df326f-8cc0-4d16-b7b0-9d90e58bfa4d,1067-11-03 09:49:01+00:00,Subscription Create,29.0
2237,user_13fcd2d0-446f-4726-8690-17bf6fdf885c,ch_5912f182-e9fb-413d-9963-ad909c1a29e6,1067-10-23 01:18:40+00:00,Subscription Create,35.0
2307,user_4ab5263d-1970-4993-8ebb-ce9869e94ea2,ch_36d6e344-36f5-473e-9e37-39a23001901f,1067-11-08 23:26:20+00:00,Subscription Create,39.0
2344,user_d33204ec-2ddc-4d32-9b8a-2c3028052023,ch_ba47814b-5690-4feb-848d-badcb9149bb4,1067-10-25 13:03:39+00:00,Subscription Update,20.36
2349,user_3e34ff73-939a-4657-8467-bcaba8f376e8,ch_818ba0e7-22bf-46ac-9c26-ba31a1981943,1067-11-05 11:04:15+00:00,Subscription Create,29.0
2421,user_9e929b06-fb28-4024-a708-a61c690ab08b,ch_e02d30db-4874-4847-8dcc-d90b249a1c21,1067-10-12 03:47:22+00:00,Subscription Create,9.0
2431,user_27824cd3-ee69-43ca-96f9-2a5d3e188e2f,ch_4d10b365-526b-4a97-ae62-994608c2581e,1067-10-15 07:50:31+00:00,Subscription Update,20.0
2591,user_3b3595a6-e654-46b5-a38a-5f95b8c76f0e,ch_1e4e2d1e-cf8b-4ba4-8f0b-afad46840f94,1067-11-07 18:04:43+00:00,Subscription Create,9.0
2626,user_cfb1198b-70a0-4885-a6e1-3cc6b3c0d4b8,ch_6868ae78-238e-4c33-8d70-ca7378946f08,1067-10-29 10:15:27+00:00,Subscription Create,35.0
